pp,video,dial,t_begin_s,t_mid_s,t_end_s,duration_s,x_fix,y_fix
1,2,6,2.523,2.5585,2.594,0.071,1606.45,880.8
1,2,6,2.60975,2.6985,2.78725,0.1775,1737.9,875.6
1,2,1,2.94,3.0295,3.119,0.179,332.95,252.2
1,2,2,3.159,3.2855,3.412,0.253,1034.65,223.1
1,2,2,3.4255,3.677,3.9285,0.503,1111.4,204.35
1,2,5,3.969,3.9845,4.0,0.031,1016.1,916.35
1,2,5,4.0,4.039,4.078,0.078,1016.1,916.35
1,2,5,4.09,4.1795,4.269,0.179,1028.7,857.4
1,2,4,4.31425,4.524,4.73375,0.4195,307.6,736.3
1,2,5,4.78375,4.8255,4.86725,0.0835,1169.4,828.2
1,2,6,4.90675,5.056,5.20525,0.2985,1693.6,836.7
1,2,6,5.218,5.585,5.952,0.734,1717.3,763.9
1,2,2,6.00575,6.362,6.71825,0.7125,1101.85,207.6
1,2,5,6.75825,6.863,6.96775,0.2095,995.95,812.95
1,2,6,7.005,7.1185,7.232,0.227,1673.6,822.9
1,2,3,7.28475,7.346,7.40725,0.1225,1704.3,219.9
1,2,2,7.44225,7.4965,7.55075,0.1085,1062.8,267.95
1,2,1,7.59225,7.74,7.88775,0.2955,319.45,237.2
1,2,4,8.0395,8.095,8.1505,0.111,326.8,826.5
1,2,4,8.163,8.362,8.561,0.398,290.4,782.55
1,2,4,8.5725,8.6335,8.6945,0.122,325.25,750.1
1,2,5,8.73375,8.908,9.08225,0.3485,1014.6,827.3
1,2,4,9.12325,9.2075,9.29175,0.1685,372.1,780.4
1,2,2,9.358,9.4685,9.579,0.221,1005.0,223.0
1,2,2,9.59375,9.7025,9.81125,0.2175,1102.8,242.6
1,2,6,9.85175,9.92587,10.0,0.14825,1623.3,789.75
1,2,6,10.0,10.00512,10.01025,0.01025,1623.3,789.75
1,2,6,10.02375,10.3245,10.62525,0.6015,1723.55,758.4
1,2,2,10.68175,10.763,10.84425,0.1625,925.1,287.25
1,2,2,10.856,10.9285,11.001,0.145,983.45,291.55
1,2,2,11.01625,11.1045,11.19275,0.1765,1051.45,214.05
1,2,1,11.236,11.2965,11.357,0.121,300.4,335.6
1,2,4,11.38525,11.69262,12.0,0.61475,286.95,776.8
1,2,4,12.0,12.07838,12.15675,0.15675,286.95,776.8
1,2,2,12.207,12.6465,13.086,0.879,1064.45,209.2
1,2,5,13.21875,13.2995,13.38025,0.1615,1075.45,855.85
1,2,5,13.39475,13.4285,13.46225,0.0675,1009.05,808.6
1,2,4,13.50225,13.729,13.95575,0.4535,329.4,794.2
1,2,6,14.023,14.155,14.287,0.264,1653.0,889.95
1,2,1,14.384,14.5135,14.643,0.259,347.6,229.1
1,2,1,14.65625,15.137,15.61775,0.9615,397.3,321.05
1,2,4,15.65175,15.708,15.76425,0.1125,355.2,762.6
1,2,1,15.81775,15.894,15.97025,0.1525,495.6,242.5
1,2,1,15.98475,15.99237,16.0,0.01525,411.0,332.4
1,2,1,16.0,16.32812,16.65625,0.65625,411.0,332.4
1,2,2,16.7035,17.092,17.4805,0.777,1011.2,175.1
1,2,2,17.49475,17.74737,18.0,0.50525,1108.8,198.25
1,2,2,18.0,18.00662,18.01325,0.01325,1108.8,198.25
1,2,4,18.06,18.203,18.346,0.286,303.65,826.7
1,2,5,18.38725,18.4535,18.51975,0.1325,985.1,807.15
1,2,6,18.56725,18.652,18.73675,0.1695,1778.0,804.0
1,2,6,18.75025,18.822,18.89375,0.1435,1702.0,807.55
1,2,5,18.93225,19.0495,19.16675,0.2345,974.55,761.2
1,2,6,19.2095,19.312,19.4145,0.205,1696.55,802.0
1,2,4,19.473,19.5975,19.722,0.249,329.95,776.15
1,2,6,19.78225,19.89113,20.0,0.21775,1643.7,807.8
1,2,6,20.0,20.00287,20.00575,0.00575,1643.7,807.8
1,2,6,20.019,20.2445,20.47,0.451,1716.4,779.0
1,2,1,20.537,20.6155,20.694,0.157,335.8,312.3
1,2,1,20.70625,20.8635,21.02075,0.3145,402.4,313.55
1,2,2,21.05775,21.4555,21.85325,0.7955,1100.05,228.3
1,2,4,21.89925,21.94962,22.0,0.10075,290.8,817.65
1,2,4,22.0,22.08938,22.17875,0.17875,290.8,817.65
1,2,6,22.33575,22.4075,22.47925,0.1435,1708.6,865.8
1,2,6,22.4925,22.8525,23.2125,0.72,1703.1,774.3
1,2,4,23.268,23.344,23.42,0.152,413.3,758.45
1,2,4,23.43325,23.4825,23.53175,0.0985,349.1,763.0
1,2,5,23.56925,23.697,23.82475,0.2555,911.6,796.6
1,2,2,23.8685,23.93425,24.0,0.1315,1019.8,195.65
1,2,2,24.0,24.01425,24.0285,0.0285,1019.8,195.65
1,2,2,24.04425,24.089,24.13375,0.0895,1076.25,263.7
1,2,6,24.17525,24.2305,24.28575,0.1105,1717.35,848.8
1,2,6,24.41925,24.4815,24.54375,0.1245,1700.45,762.85
1,2,4,24.60225,24.8635,25.12475,0.5225,330.3,762.35
1,2,5,25.1635,25.2215,25.2795,0.116,925.55,737.95
1,2,6,25.3435,25.3685,25.3935,0.05,1599.25,781.4
1,2,6,25.40925,25.5,25.59075,0.1815,1704.3,773.4
1,2,4,25.6445,25.72,25.7955,0.151,389.0,782.45
1,2,4,25.80975,25.883,25.95625,0.1465,323.95,738.9
1,2,5,26.00025,26.054,26.10775,0.1075,965.8,694.75
1,2,2,26.1575,26.2875,26.4175,0.26,1006.05,161.8
1,2,1,26.461,26.5235,26.586,0.125,314.8,261.15
1,2,2,26.6355,26.9655,27.2955,0.66,1093.8,209.85
1,2,4,27.45675,27.511,27.56525,0.1085,419.25,830.35
1,2,5,27.599,27.711,27.823,0.224,979.8,802.5
1,2,2,27.882,27.941,28.0,0.118,1034.85,206.1
1,2,2,28.0,28.0775,28.155,0.155,1034.85,206.1
1,2,2,28.16825,28.374,28.57975,0.4115,1091.75,198.6
1,2,6,28.622,28.7405,28.859,0.237,1535.35,774.8
1,2,2,28.9265,29.078,29.2295,0.303,974.85,163.1
1,2,2,29.24625,29.62313,30.0,0.75375,1096.8,225.1
1,2,2,30.0,30.02538,30.05075,0.05075,1096.8,225.1
1,2,4,30.1185,30.1845,30.2505,0.132,496.65,861.2
1,2,4,30.26375,30.3135,30.36325,0.0995,444.0,899.8
1,2,2,30.426,30.531,30.636,0.21,1037.9,130.4
1,2,2,30.6505,30.8845,31.1185,0.468,1113.7,212.65
1,2,1,31.15875,31.562,31.96525,0.8065,394.7,312.75
1,2,4,32.00225,32.101,32.19975,0.1975,276.1,814.5
1,2,4,32.29725,32.5915,32.88575,0.5885,304.84737,755.12309
1,2,5,32.93075,33.028,33.12525,0.1945,869.8,830.1
1,2,4,33.16775,33.3635,33.55925,0.3915,255.95,809.5
1,2,2,33.61675,33.6845,33.75225,0.1355,1076.2,278.5
1,2,1,33.9715,33.98575,34.0,0.0285,340.1,197.7
1,2,1,34.0,34.17625,34.3525,0.3525,340.1,197.7
1,2,4,34.5325,34.6305,34.7285,0.196,264.95,796.2
1,2,5,34.7745,34.847,34.9195,0.145,1106.8,807.65
1,2,5,34.93525,35.042,35.14875,0.2135,966.95,793.15
1,2,6,35.2055,35.31,35.4145,0.209,1641.35,772.05
1,2,2,35.4635,35.592,35.7205,0.257,1041.25,282.4
1,2,1,35.76325,35.88162,36.0,0.23675,370.4,184.9
1,2,1,36.0,36.00988,36.01975,0.01975,370.4,184.9
1,2,1,36.03325,36.1395,36.24575,0.2125,434.3,220.8
1,2,4,36.28075,36.5135,36.74625,0.4655,344.5,764.3
1,2,1,36.85975,36.923,36.98625,0.1265,442.3,315.0
1,2,1,37.00025,37.2865,37.57275,0.5725,378.75,278.7
1,2,2,37.62225,37.81113,38.0,0.37775,1117.1,196.7
1,2,2,38.0,38.09788,38.19575,0.19575,1117.1,196.7
1,2,5,38.23875,38.3045,38.37025,0.1315,1039.4,870.2
1,2,5,38.3825,38.46,38.5375,0.155,984.95,849.9
1,2,4,38.5745,38.673,38.7715,0.197,357.0,793.8
1,2,1,38.8295,38.9345,39.0395,0.21,374.6,216.1
1,2,1,39.05025,39.128,39.20575,0.1555,345.05,245.65
1,2,2,39.2475,39.3625,39.4775,0.23,1096.85,238.55
1,2,2,39.48875,39.677,39.86525,0.3765,1118.2,196.9
1,2,1,39.912,39.956,40.0,0.088,326.0,313.7
1,2,1,40.0,40.0635,40.127,0.127,326.0,313.7
1,2,4,40.17275,40.1975,40.22225,0.0495,376.25,929.2
1,2,4,40.25,40.521,40.792,0.542,303.1,765.8
1,2,6,40.86225,41.2765,41.69075,0.8285,1656.75,851.0
